model_folder,ingredient_id,normalized_name,display_name,category_suggestion,train_count,val_count,test_count,needs_train_images,team_upload_path
ing_00250,250,소고기,소고기,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00250/
ing_00257,257,다진돼지고기,다진돼지고기,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00257/
ing_00261,261,상추,상추,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00261/
ing_00263,263,케일,케일,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00263/
ing_00264,264,섬초,섬초,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00264/
ing_00265,265,찰보리 고추장,찰보리 고추장,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00265/
ing_00268,268,봄동,봄동,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00268/
ing_00273,273,달래,달래,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00273/
ing_00275,275,꼬막,꼬막,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00275/
ing_00277,277,생강즙,생강즙,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00277/
ing_00279,279,다진 부추,다진 부추,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00279/
ing_00282,282,아몬드,아몬드,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00282/
ing_00283,283,호두,호두,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00283/
ing_00286,286,요리당,요리당,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00286/
ing_00291,291,단단한 두부,단단한 두부,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00291/
ing_00293,293,미나리,미나리,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00293/
ing_00295,295,채썬 햄,채썬 햄,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00295/
ing_00300,300,마른 청양고추,마른 청양고추,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00300/
ing_00302,302,다진 호박,다진 호박,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00302/
ing_00306,306,어린잎,어린잎,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00306/
ing_00309,309,생수,생수,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00309/
ing_00310,310,국거리소고기,국거리소고기,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00310/
ing_00311,311,김밥김,김밥김,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00311/
ing_00313,313,밥새우,밥새우,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00313/
ing_00315,315,삶은 시래기,삶은 시래기,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00315/
ing_00321,321,부침가루(밀가루),부침가루(밀가루),곡류,0,0,0,Y,data_sources/team_uploads/train/ing_00321/
ing_00322,322,오징어채,오징어채,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00322/
ing_00325,325,우엉,우엉,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00325/
ing_00327,327,감자전분,감자전분,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00327/
ing_00329,329,시판네모유부,시판네모유부,곡류,0,0,0,Y,data_sources/team_uploads/train/ing_00329/
ing_00330,330,맛간장,맛간장,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00330/
ing_00332,332,스위트콘,스위트콘,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00332/
ing_00333,333,소고기다짐육 + 돼지고기다짐육,소고기다짐육 + 돼지고기다짐육,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00333/
ing_00334,334,요리술,요리술,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00334/
ing_00337,337,데칠때 생강술,데칠때 생강술,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00337/
ing_00339,339,깐메추리알,깐메추리알,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00339/
ing_00343,343,꿀/물엿,꿀/물엿,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00343/
ing_00344,344,국간장(조선간장),국간장(조선간장),소스,0,0,0,Y,data_sources/team_uploads/train/ing_00344/
ing_00346,346,다진 애호박,다진 애호박,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00346/
ing_00348,348,대파흰부분,대파흰부분,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00348/
ing_00349,349,소고기 다짐육,소고기 다짐육,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00349/
ing_00350,350,생강술,생강술,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00350/
ing_00351,351,배즙,배즙,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00351/
ing_00358,358,대패 삼겹살,대패 삼겹살,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00358/
ing_00361,361,소주,소주,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00361/
ing_00365,365,잣,잣,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00365/
ing_00368,368,다진 쪽파,다진 쪽파,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00368/
ing_00369,369,표고버섯,표고버섯,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00369/
ing_00370,370,황태,황태,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00370/
ing_00371,371,술,술,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00371/
ing_00372,372,소고기 불고기용,소고기 불고기용,육류,0,0,0,Y,data_sources/team_uploads/train/ing_00372/
ing_00373,373,들깻가루,들깻가루,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00373/
ing_00375,375,대파 녹색부분,대파 녹색부분,채소,0,0,0,Y,data_sources/team_uploads/train/ing_00375/
ing_00385,385,아기 간장,아기 간장,소스,0,0,0,Y,data_sources/team_uploads/train/ing_00385/
ing_00387,387,깨 간 것,깨 간 것,조미료,0,0,0,Y,data_sources/team_uploads/train/ing_00387/
ing_00390,390,마른 김,마른 김,해산물,0,0,0,Y,data_sources/team_uploads/train/ing_00390/
ing_00428,428,요거트,요거트,유제품,0,0,0,Y,data_sources/team_uploads/train/ing_00428/
ing_00434,434,주스,주스,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00434/
ing_00436,436,사워크림,사워크림,유제품,0,0,0,Y,data_sources/team_uploads/train/ing_00436/
ing_00484,484,고구마(대),고구마(대),기타,0,0,0,Y,data_sources/team_uploads/train/ing_00484/
ing_00485,485,찹쌀가루,찹쌀가루,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00485/
ing_00498,498,와사비,와사비,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00498/
ing_00510,510,브로콜리 줄기,브로콜리 줄기,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00510/
ing_00537,537,노란파프리카,노란파프리카,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00537/
ing_00538,538,빨간파프리카,빨간파프리카,기타,0,0,0,Y,data_sources/team_uploads/train/ing_00538/
